baseline_id,structure,structural_deviation,source_term,source_partition
SB1360,peripheral sensory-nerve axonal conduction structure,reduced or absent motor neural output and target-tissue activation,Cranial nerve paralysis,remaining_5256
SB1361,"cranial bone suture, skull-growth, and developmental architecture structure","abnormal structural accumulation, degeneration, remodeling, or chronic state within the named structure",Craniosynostosis,remaining_5256
SB1362,whole-organism integrated physiological structure,measured or functional quantity shifted above its reference structural range,Creatine increased,remaining_5256
SB1363,"circulating-blood biochemical, cellular, and measured-state structure",measured or functional quantity shifted above its reference structural range,Creatine phosphokinase increased,remaining_5256
SB1364,"circulating-blood biochemical, cellular, and measured-state structure",measured or functional quantity shifted above its reference structural range,Creatine phosphokinase serum increased,remaining_5256
SB1365,renal glomerular-tubular filtration and fluid-balance structure,departure from the reference structural configuration or regulated functional range,Creatinine abnormal NOS,remaining_5256
SB1366,renal glomerular-tubular filtration and fluid-balance structure,measured or functional quantity shifted above its reference structural range,Creatinine increased,remaining_5256
SB1367,renal glomerular-tubular filtration and fluid-balance structure,measured or functional quantity shifted below its reference structural range,Creatinine low,remaining_5256
SB1368,renal glomerular-tubular filtration and fluid-balance structure,measured state within the declared reference range rather than a malformation,Creatinine normal,remaining_5256
SB1369,renal glomerular-tubular filtration and fluid-balance structure,measured or functional quantity shifted below its reference structural range,Creatinine renal clearance decreased,remaining_5256
SB1370,whole-organism integrated physiological structure,chronic transmural intestinal inflammatory remodeling with discontinuous mucosal-wall injury,Crohn's disease,remaining_5256
SB1371,whole-organism integrated physiological structure,increase in magnitude or instability of a pre-existing structural deviation,Crohns disease aggravated,remaining_5256
SB1372,"systemic immune-recognition, signaling, and effector-response structure","exaggerated immune-recognition/effector activation causing barrier, vascular, or smooth-muscle perturbation",Cross reactive drug hypersensitivity,remaining_5256
SB1373,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by cross resistance",Cross resistance,remaining_5256
SB1374,upper-airway nasal-pharyngeal mucosal barrier and airway-patency structure,pathogen-associated occupation/invasion with host-defense activation and local structural disruption,Croup infectious,remaining_5256
SB1375,whole-organism integrated physiological structure,increased lacrimal and affective-motor output relative to the reference behavioral state,Crying,remaining_5256
SB1376,whole-organism integrated physiological structure,departure from the reference structural configuration or regulated functional range,Crying abnormal,remaining_5256
SB1377,cutaneous epidermal-dermal barrier and local immune structure,pathogen-associated occupation/invasion with host-defense activation and local structural disruption,Cryptococcal cutaneous infection,remaining_5256
SB1378,innate-adaptive host-defense structure,"abnormal structural accumulation, degeneration, remodeling, or chronic state within the named structure",Cryptococcosis,remaining_5256
SB1379,whole-organism integrated physiological structure,"altered configuration or regulated output of the named structure, expressed as the state described by cryptorchism",Cryptorchism,remaining_5256
SB1380,innate-adaptive host-defense structure,pathogen-associated occupation/invasion with host-defense activation and local structural disruption,Cryptosporidiosis infection,remaining_5256
SB1381,urine formation-to-excretion composition and outflow structure,detectable presence of the named material/state where the reference condition is absent or lower,Crystal urine present,remaining_5256
SB1382,urine formation-to-excretion composition and outflow structure,"abnormal presence, concentration, or excretion of the named material in urine",Crystalluria,remaining_5256
SB1383,urine formation-to-excretion composition and outflow structure,"abnormal presence, concentration, or excretion of the named material in urine",Crystalluria calcium,remaining_5256
SB1384,whole-organism integrated physiological structure,absence or reduction of the measured target relative to the expected reference state,Culture negative,remaining_5256
SB1385,adrenal cortical steroid-production and release structure,departure from the reference structural configuration or regulated functional range,Cushing's syndrome,remaining_5256
SB1386,adrenal cortical steroid-production and release structure,systemic structural-metabolic configuration associated with sustained glucocorticoid excess,Cushingoid,remaining_5256
SB1387,"lymphoid tissue organization, lymphocyte production, and immune-response structure",loss of normal proliferative/differentiation constraint with clonal tissue expansion and architectural replacement,Cutaneous T-cell lymphoma,remaining_5256
SB1388,cutaneous epidermal-dermal barrier and local immune structure,"exaggerated immune-recognition/effector activation causing barrier, vascular, or smooth-muscle perturbation",Cutaneous hypersensitivity,remaining_5256
